season,tm_name,team,squad_value_eur,squad_value_m
2021,Celta de Vigo,Celta Vigo,120000000.0,120.0
2021,CA Osasuna,CA Osasuna,108450000.0,108.45
2021,Granada CF,Granada,103750000.0,103.75
2021,Levante UD,Levante,77900000.0,77.9
2021,RCD Mallorca,Mallorca,74150000.0,74.15
2021,Elche CF,Elche,72980000.0,72.98
2021,Cádiz CF,Cadiz,67800000.0,67.8
2021,Rayo Vallecano,Rayo Vallecano,67200000.0,67.2
2021,Deportivo Alavés,Alaves,65349999.99999999,65.35
2022,Real Madrid,Real Madrid,923450000.0,923.45
2022,FC Barcelona,Barcelona,836800000.0,836.8
2022,Atlético de Madrid,Atletico Madrid,534299999.99999994,534.3
2022,Real Sociedad,Real Sociedad,441700000.0,441.7
2022,Villarreal CF,Villarreal,363500000.0,363.5
2022,Valencia CF,Valencia,249780000.0,249.78
2022,Real Betis Balompié,Real Betis Balompié,246400000.0,246.4
2022,Sevilla FC,Sevilla,232580000.0,232.58
2022,Athletic Bilbao,Athletic Club,222450000.0,222.45
2022,CA Osasuna,CA Osasuna,150050000.0,150.05
2022,Girona FC,Girona,139900000.0,139.9
2022,Celta de Vigo,Celta Vigo,138800000.0,138.8
2022,Getafe CF,Getafe,118900000.0,118.9
2022,RCD Espanyol Barcelona,RCD Espanyol Barcelona,116500000.0,116.5
2022,UD Almería,Almeria,114200000.0,114.2
2022,RCD Mallorca,Mallorca,107000000.0,107.0
2022,Rayo Vallecano,Rayo Vallecano,103400000.0,103.4
2022,Real Valladolid CF,Real Valladolid CF,90750000.0,90.75
2022,Elche CF,Elche,67500000.0,67.5
2022,Cádiz CF,Cadiz,65599999.99999999,65.6
2023,Real Madrid,Real Madrid,1140000000.0,1140.0
2023,FC Barcelona,Barcelona,916200000.0,916.2
2023,Real Sociedad,Real Sociedad,498500000.0,498.5
2023,Atlético de Madrid,Atletico Madrid,458450000.0,458.45
2023,Girona FC,Girona,297900000.0,297.9
2023,Athletic Bilbao,Athletic Club,295650000.0,295.65
2023,Villarreal CF,Villarreal,252500000.0,252.5
2023,Valencia CF,Valencia,244730000.0,244.73
2023,Sevilla FC,Sevilla,228750000.0,228.75
2023,Real Betis Balompié,Real Betis Balompié,224880000.0,224.88
2023,Celta de Vigo,Celta Vigo,149300000.0,149.3
2023,Granada CF,Granada,141100000.0,141.1
2023,Getafe CF,Getafe,133000000.0,133.0
2023,Deportivo Alavés,Alaves,123700000.0,123.7
2023,UD Las Palmas,Las Palmas,112400000.0,112.4
2023,CA Osasuna,CA Osasuna,105350000.0,105.35
2023,UD Almería,Almeria,99400000.0,99.4
2023,RCD Mallorca,Mallorca,87700000.0,87.7
2023,Rayo Vallecano,Rayo Vallecano,63950000.0,63.95
2023,Cádiz CF,Cadiz,60700000.0,60.7
2024,Real Madrid,Real Madrid,1350000000.0,1350.0
2024,FC Barcelona,Barcelona,1080000000.0,1080.0
2024,Atlético de Madrid,Atletico Madrid,542500000.0,542.5
2024,Athletic Bilbao,Athletic Club,375350000.0,375.35
2024,Real Sociedad,Real Sociedad,345050000.0,345.05
2024,Real Betis Balompié,Real Betis Balompié,291700000.0,291.7
2024,Villarreal CF,Villarreal,264250000.0,264.25
2024,Valencia CF,Valencia,215550000.0,215.55
2024,Sevilla FC,Sevilla,183900000.0,183.9
2024,Girona FC,Girona,153100000.0,153.1
2024,Celta de Vigo,Celta Vigo,130900000.0,130.9
2024,UD Las Palmas,Las Palmas,117300000.0,117.3
2024,RCD Espanyol Barcelona,RCD Espanyol Barcelona,116980000.0,116.98
2024,CA Osasuna,CA Osasuna,113280000.0,113.28
2024,Deportivo Alavés,Alaves,92350000.0,92.35
2024,Getafe CF,Getafe,87700000.0,87.7
2024,RCD Mallorca,Mallorca,84880000.0,84.88
2024,Real Valladolid CF,Real Valladolid CF,81450000.0,81.45
2024,Rayo Vallecano,Rayo Vallecano,68000000.0,68.0
2024,CD Leganés,CD Leganés,47980000.0,47.98
2025,Real Madrid,Real Madrid,1340000000.0,1340.0
2025,FC Barcelona,Barcelona,1170000000.0,1170.0
2025,Atlético de Madrid,Atletico Madrid,587000000.0,587.0
2025,Villarreal CF,Villarreal,285500000.0,285.5
2025,Athletic Bilbao,Athletic Club,283000000.0,283.0
2025,Real Sociedad,Real Sociedad,272700000.0,272.7
2025,Real Betis Balompié,Real Betis Balompié,248800000.0,248.8
2025,Celta de Vigo,Celta Vigo,172900000.0,172.9
2025,Valencia CF,Valencia,163600000.0,163.6
2025,Girona FC,Girona,153200000.0,153.2
2025,Sevilla FC,Sevilla,140400000.0,140.4
2025,RCD Espanyol Barcelona,RCD Espanyol Barcelona,124200000.0,124.2
2025,Rayo Vallecano,Rayo Vallecano,107300000.0,107.3
2025,CA Osasuna,CA Osasuna,100800000.0,100.8
2025,RCD Mallorca,Mallorca,89000000.0,89.0
2025,Levante UD,Levante,86700000.0,86.7
2025,Elche CF,Elche,85100000.0,85.1
2025,Getafe CF,Getafe,82900000.0,82.9
2025,Deportivo Alavés,Alaves,66900000.00000001,66.9
2025,Real Oviedo,Real Oviedo,63900000.0,63.9
